Name,Subfaction,Faction
Alpha Override,Unaligned,C.O.R.E
Autonomous Combat Drones,Unaligned,C.O.R.E
Consumption Engine,Unaligned,C.O.R.E
Flamethrower,Unaligned,C.O.R.E
Grinding Saw,Unaligned,C.O.R.E
Prototype Power Cell,Unaligned,C.O.R.E
Rock Drill,Unaligned,C.O.R.E
Self-Destruct System,Unaligned,C.O.R.E
Self-Repair Program,Unaligned,C.O.R.E
Shield Generator,Unaligned,C.O.R.E
Void Battery,Unaligned,C.O.R.E
Acid Blood,Unaligned,Brood
Acid Glands,Unaligned,Brood
Calcifying Blood,Unaligned,Brood
Chameleonic Flesh,Unaligned,Brood
Fog of Vapors,Unaligned,Brood
Lasher Tendril,Unaligned,Brood
Metabolic Hunger,Unaligned,Brood
Patagial Glider,Unaligned,Brood
Pud Hatchery,Unaligned,Brood
Resin Spinneret,Unaligned,Brood
Synaptic Shielding,Unaligned,Brood
Vascular Adaptability,Unaligned,Brood
